REGN,Date
458.239990234375,2017-05-24
455.70001220703125,2017-05-25
455.1700134277344,2017-05-26
448.6700134277344,2017-05-30
459.05999755859375,2017-05-31
466.0199890136719,2017-06-01
480.42999267578125,2017-06-02
480.260009765625,2017-06-05
477.7300109863281,2017-06-06
482.0,2017-06-07
485.8999938964844,2017-06-08
475.7900085449219,2017-06-09
476.2300109863281,2017-06-12
473.6700134277344,2017-06-13
476.8399963378906,2017-06-14
469.5,2017-06-15
459.9100036621094,2017-06-16
471.6700134277344,2017-06-19
495.3299865722656,2017-06-20
522.02001953125,2017-06-21
526.530029296875,2017-06-22
517.3300170898438,2017-06-23
515.9099731445312,2017-06-26
502.1199951171875,2017-06-27
513.1900024414062,2017-06-28
509.92999267578125,2017-06-29
491.1400146484375,2017-06-30
487.7300109863281,2017-07-03
497.0,2017-07-05
490.19000244140625,2017-07-06
496.5,2017-07-07
499.9100036621094,2017-07-10
492.0,2017-07-11
496.989990234375,2017-07-12
505.04998779296875,2017-07-13
504.8999938964844,2017-07-14
498.1099853515625,2017-07-17
497.6300048828125,2017-07-18
506.7900085449219,2017-07-19
521.1300048828125,2017-07-20
515.9199829101562,2017-07-21
521.219970703125,2017-07-24
513.4500122070312,2017-07-25
515.6300048828125,2017-07-26
508.4100036621094,2017-07-27
508.7099914550781,2017-07-28
491.6199951171875,2017-07-31
472.0,2017-08-01
476.82000732421875,2017-08-02
467.1099853515625,2017-08-03
468.760009765625,2017-08-04
470.1000061035156,2017-08-07
469.67999267578125,2017-08-08
474.0899963378906,2017-08-09
460.0799865722656,2017-08-10
466.5899963378906,2017-08-11
474.5400085449219,2017-08-14
472.57000732421875,2017-08-15
468.5400085449219,2017-08-16
464.0199890136719,2017-08-17
467.9800109863281,2017-08-18
469.739990234375,2017-08-21
478.6499938964844,2017-08-22
477.1499938964844,2017-08-23
485.260009765625,2017-08-24
477.79998779296875,2017-08-25
479.2200012207031,2017-08-28
479.0299987792969,2017-08-29
487.1199951171875,2017-08-30
496.8999938964844,2017-08-31
504.0,2017-09-01
494.3599853515625,2017-09-05
500.2200012207031,2017-09-06
471.9200134277344,2017-09-07
471.489990234375,2017-09-08
445.1099853515625,2017-09-11
444.4800109863281,2017-09-12
437.739990234375,2017-09-13
441.260009765625,2017-09-14
433.45001220703125,2017-09-15
434.6400146484375,2017-09-18
431.3800048828125,2017-09-19
438.1700134277344,2017-09-20
433.45001220703125,2017-09-21
432.7200012207031,2017-09-22
438.1499938964844,2017-09-25
434.9700012207031,2017-09-26
435.42999267578125,2017-09-27
435.1099853515625,2017-09-28
447.1199951171875,2017-09-29
462.239990234375,2017-10-02
455.6300048828125,2017-10-03
456.04998779296875,2017-10-04
463.3999938964844,2017-10-05
469.95001220703125,2017-10-06
469.55999755859375,2017-10-09
461.1300048828125,2017-10-10
452.9700012207031,2017-10-11
447.1499938964844,2017-10-12
442.9599914550781,2017-10-13
445.67999267578125,2017-10-16
442.55999755859375,2017-10-17
439.3699951171875,2017-10-18
440.94000244140625,2017-10-19
432.9800109863281,2017-10-20
432.760009765625,2017-10-23
426.510009765625,2017-10-24
421.92999267578125,2017-10-25
416.0400085449219,2017-10-26
409.2200012207031,2017-10-27
406.5199890136719,2017-10-30
402.6199951171875,2017-10-31
397.0,2017-11-01
397.45001220703125,2017-11-02
408.4100036621094,2017-11-03
406.6300048828125,2017-11-06
404.3900146484375,2017-11-07
415.1700134277344,2017-11-08
406.2099914550781,2017-11-09
404.5400085449219,2017-11-10
393.6199951171875,2017-11-13
384.79998779296875,2017-11-14
386.29998779296875,2017-11-15
394.69000244140625,2017-11-16
391.5899963378906,2017-11-17
385.2200012207031,2017-11-20
384.44000244140625,2017-11-21
387.5400085449219,2017-11-22
384.8500061035156,2017-11-24
374.5299987792969,2017-11-27
366.0,2017-11-28
358.6300048828125,2017-11-29
361.8599853515625,2017-11-30
373.4700012207031,2017-12-01
378.3699951171875,2017-12-04
372.3399963378906,2017-12-05
375.1300048828125,2017-12-06
373.6099853515625,2017-12-07
380.7799987792969,2017-12-08
381.32000732421875,2017-12-11
381.7200012207031,2017-12-12
386.6700134277344,2017-12-13
383.1199951171875,2017-12-14
388.95001220703125,2017-12-15
383.3900146484375,2017-12-18
385.7200012207031,2017-12-19
382.8900146484375,2017-12-20
384.1400146484375,2017-12-21
381.0,2017-12-22
387.42999267578125,2017-12-26
384.0899963378906,2017-12-27
382.82000732421875,2017-12-28
375.9599914550781,2017-12-29
382.6000061035156,2018-01-02
393.7799987792969,2018-01-03
382.95001220703125,2018-01-04
385.1000061035156,2018-01-05
372.5199890136719,2018-01-08
368.6499938964844,2018-01-09
366.4599914550781,2018-01-10
368.260009765625,2018-01-11
366.9599914550781,2018-01-12
370.2099914550781,2018-01-16
374.07000732421875,2018-01-17
371.2799987792969,2018-01-18
371.5299987792969,2018-01-19
375.8599853515625,2018-01-22
381.7099914550781,2018-01-23
383.32000732421875,2018-01-24
391.8399963378906,2018-01-25
374.3599853515625,2018-01-26
382.8800048828125,2018-01-29
379.7699890136719,2018-01-30
366.6499938964844,2018-01-31
345.7900085449219,2018-02-01
347.8599853515625,2018-02-02
331.9800109863281,2018-02-05
338.79998779296875,2018-02-06
334.6099853515625,2018-02-07
322.6199951171875,2018-02-08
336.3800048828125,2018-02-09
