GSK,Date
31.656784057617188,2017-12-13
31.35427474975586,2017-12-14
31.1318359375,2017-12-15
31.407649993896484,2017-12-18
31.461036682128906,2017-12-19
31.4521427154541,2017-12-20
31.63008689880371,2017-12-21
31.25640106201172,2017-12-22
31.46993637084961,2017-12-26
31.638986587524414,2017-12-27
31.585603713989258,2017-12-28
31.558910369873047,2017-12-29
32.85792541503906,2018-01-02
32.73336410522461,2018-01-03
32.7956428527832,2018-01-04
33.37397384643555,2018-01-05
33.276100158691406,2018-01-08
32.8757209777832,2018-01-09
32.38636779785156,2018-01-10
32.77784729003906,2018-01-11
33.365074157714844,2018-01-12
33.73876190185547,2018-01-16
33.94340133666992,2018-01-17
33.96118927001953,2018-01-18
33.98788833618164,2018-01-19
34.308197021484375,2018-01-22
34.42385482788086,2018-01-23
34.38826370239258,2018-01-24
34.130252838134766,2018-01-25
34.735267639160156,2018-01-26
34.22811508178711,2018-01-29
33.907814025878906,2018-01-30
33.37397384643555,2018-01-31
33.44514465332031,2018-02-01
33.00917434692383,2018-02-02
31.576705932617188,2018-02-05
32.021575927734375,2018-02-06
32.057159423828125,2018-02-07
32.18172073364258,2018-02-08
32.4664421081543,2018-02-09
32.27069854736328,2018-02-12
32.43974685668945,2018-02-13
32.76005554199219,2018-02-14
33.19602584838867,2018-02-15
33.54301834106445,2018-02-16
33.21382141113281,2018-02-20
33.09815979003906,2018-02-21
33.117794036865234,2018-02-22
33.3623046875,2018-02-23
33.50719451904297,2018-02-26
33.06344985961914,2018-02-27
32.88233184814453,2018-02-28
32.57442855834961,2018-03-01
32.80083084106445,2018-03-02
33.307960510253906,2018-03-05
33.44380569458008,2018-03-06
33.74264907836914,2018-03-07
33.978111267089844,2018-03-08
33.833213806152344,2018-03-09
34.09584426879883,2018-03-12
33.62492752075195,2018-03-13
33.606815338134766,2018-03-14
33.43474578857422,2018-03-15
33.76076126098633,2018-03-16
33.40757369995117,2018-03-19
33.28984832763672,2018-03-20
33.28984832763672,2018-03-21
32.7374382019043,2018-03-22
33.88754653930664,2018-03-23
33.896610260009766,2018-03-26
34.76598358154297,2018-03-27
35.662532806396484,2018-03-28
35.38178634643555,2018-03-29
35.182552337646484,2018-04-02
35.57197189331055,2018-04-03
36.151546478271484,2018-04-04
36.09721374511719,2018-04-05
36.16059875488281,2018-04-06
36.48662567138672,2018-04-09
37.11148452758789,2018-04-10
36.74018859863281,2018-04-11
36.785465240478516,2018-04-12
36.749244689941406,2018-04-13
36.64963150024414,2018-04-16
36.68585205078125,2018-04-17
36.622459411621094,2018-04-18
36.115325927734375,2018-04-19
36.2239990234375,2018-04-20
36.522850036621094,2018-04-23
36.80358123779297,2018-04-24
35.42706298828125,2018-04-25
36.40511703491211,2018-04-26
36.731136322021484,2018-04-27
36.32361602783203,2018-04-30
36.260223388671875,2018-05-01
35.78025436401367,2018-05-02
35.861759185791016,2018-05-03
