JNJ,Date
132.45799255371094,2017-10-24
133.13131713867188,2017-10-25
132.61700439453125,2017-10-26
132.5889129638672,2017-10-27
130.92431640625,2017-10-30
130.37257385253906,2017-10-31
130.90560913085938,2017-11-01
130.85885620117188,2017-11-02
130.99913024902344,2017-11-03
130.6998748779297,2017-11-06
130.709228515625,2017-11-07
132.15875244140625,2017-11-08
131.2516326904297,2017-11-09
130.51283264160156,2017-11-10
130.6998748779297,2017-11-13
130.44737243652344,2017-11-14
130.0826873779297,2017-11-15
129.86758422851562,2017-11-16
129.05397033691406,2017-11-17
128.98851013183594,2017-11-20
129.37191772460938,2017-11-21
128.38998413085938,2017-11-22
129.0633087158203,2017-11-24
129.93836975097656,2017-11-27
131.74490356445312,2017-11-28
131.5472869873047,2017-11-29
131.0956573486328,2017-11-30
131.70726013183594,2017-12-01
130.79457092285156,2017-12-04
131.41558837890625,2017-12-05
132.72341918945312,2017-12-06
131.73548889160156,2017-12-07
132.28121948242188,2017-12-08
132.7987060546875,2017-12-11
134.1724395751953,2017-12-12
134.44528198242188,2017-12-13
133.278564453125,2017-12-14
134.04071044921875,2017-12-15
133.419677734375,2017-12-18
133.40087890625,2017-12-19
132.81752014160156,2017-12-20
132.72341918945312,2017-12-21
131.83897399902344,2017-12-22
131.8107452392578,2017-12-26
132.26239013671875,2017-12-27
132.25299072265625,2017-12-28
131.46261596679688,2017-12-29
131.0015411376953,2018-01-02
132.25299072265625,2018-01-03
132.24356079101562,2018-01-04
133.33499145507812,2018-01-05
133.50437927246094,2018-01-08
135.62139892578125,2018-01-09
135.4614715576172,2018-01-10
136.23300170898438,2018-01-11
137.1456298828125,2018-01-12
138.18064880371094,2018-01-16
138.29356384277344,2018-01-17
138.23709106445312,2018-01-18
138.65109252929688,2018-01-19
139.385009765625,2018-01-22
133.44793701171875,2018-01-23
133.67373657226562,2018-01-24
135.8660430908203,2018-01-25
136.7410888671875,2018-01-26
135.18856811523438,2018-01-29
134.01243591308594,2018-01-30
130.02304077148438,2018-01-31
131.74490356445312,2018-02-01
129.5431671142578,2018-02-02
122.68402862548828,2018-02-05
124.03890228271484,2018-02-06
123.65313720703125,2018-02-07
118.89219665527344,2018-02-08
121.87483978271484,2018-02-09
122.57112121582031,2018-02-12
122.27944946289062,2018-02-13
122.0065689086914,2018-02-14
123.4743881225586,2018-02-15
125.2809066772461,2018-02-16
123.1356430053711,2018-02-20
122.23240661621094,2018-02-21
122.23240661621094,2018-02-22
124.21770477294922,2018-02-23
125.06045532226562,2018-02-26
124.68167877197266,2018-02-27
122.9866943359375,2018-02-28
120.52467346191406,2018-03-01
121.98296356201172,2018-03-02
122.90145874023438,2018-03-05
121.414794921875,2018-03-06
122.19126892089844,2018-03-07
125.05097198486328,2018-03-08
126.69863891601562,2018-03-09
125.5907211303711,2018-03-12
127.2194595336914,2018-03-13
125.29720306396484,2018-03-14
125.9979019165039,2018-03-15
126.58499908447266,2018-03-16
123.32758331298828,2018-03-19
124.24610137939453,2018-03-20
124.22715759277344,2018-03-21
120.61936950683594,2018-03-22
118.46038055419922,2018-03-23
120.62882995605469,2018-03-26
120.45838165283203,2018-03-27
120.68565368652344,2018-03-28
121.34849548339844,2018-03-29
117.94903564453125,2018-04-02
121.53788757324219,2018-04-03
123.48856353759766,2018-04-04
123.77264404296875,2018-04-05
121.30116271972656,2018-04-06
122.60792541503906,2018-04-09
123.3370361328125,2018-04-10
122.74996185302734,2018-04-11
123.50749206542969,2018-04-12
123.6874008178711,2018-04-13
124.76689910888672,2018-04-16
123.61165618896484,2018-04-17
120.94132232666016,2018-04-18
120.78035736083984,2018-04-19
119.93758392333984,2018-04-20
120.09856414794922,2018-04-23
119.4925308227539,2018-04-24
120.03229522705078,2018-04-25
121.21592712402344,2018-04-26
121.46214294433594,2018-04-27
119.776611328125,2018-04-30
119.32208251953125,2018-05-01
116.94529724121094,2018-05-02
116.500244140625,2018-05-03
117.59867858886719,2018-05-04
117.03052520751953,2018-05-07
116.1025390625,2018-05-08
116.95476531982422,2018-05-09
118.69710540771484,2018-05-10
120.48680114746094,2018-05-11
119.36943054199219,2018-05-14
118.48878479003906,2018-05-15
118.69710540771484,2018-05-16
117.2767333984375,2018-05-17
117.64601135253906,2018-05-18
117.15363311767578,2018-05-21
116.38661193847656,2018-05-22
116.89794921875,2018-05-23
115.76164245605469,2018-05-24
115.87612915039062,2018-05-25
113.90144348144531,2018-05-29
115.3991470336914,2018-05-30
114.11131286621094,2018-05-31
115.67579650878906,2018-06-01
116.33401489257812,2018-06-04
115.88565826416016,2018-06-05
117.13532257080078,2018-06-06
117.65045928955078,2018-06-07
118.34684753417969,2018-06-08
117.01132202148438,2018-06-11
116.89683532714844,2018-06-12
